# Tile ,NCCS_ID,Status,RA,Dec,Vmag,err_Vmag,Rmag,Imag,VFWHM,RFWHM,IFWHM,?,?,?,?,Quality ,Redshift,Distance,,,,My favorite H0=74.03 km*s^-1*Mpc^-1,,C=2.99E8 m/s
tile21h36m+88d42m,3318928,3,341.85873,88.57867,17.162,0.017,16.378,15.546,3.577,4.911,4.945,0,0,0,3,4,0.0358,144.592732675942,,,,,,
tile19h12m+88d30m,752998,3,282.71949,88.57275,16.227,0.013,15.996,15.464,3.192,4.466,4.979,2,2,2,3,4,0.0364,147.016074564366,,,,,,
tile18h00m+88d00m,2457326,3,275.50033,87.6287,16.22,0.009,15.47,14.843,1.794,2.207,2.069,0,0,0,2,5,0.0366,147.82385519384,,,,,,
tile16h48m+88d42m,430445,3,263.4993,88.31128,15.179,0.007,14.501,13.707,2.384,3.772,3.071,0,0,0,3,4,0.0369,149.035526138052,,,,,,
tile16h48m+87d48m,932717,3,249.96413,87.44428,17.276,0.017,16.643,16.08,1.699,2.1,2.351,0,0,0,2,5,0.0371,149.843306767527,,,,,,
tile01h12m+87d18m,1578284,3,13.99965,87.48749,16.815,0.037,16.228,15.525,1.506,1.856,1.801,0,0,0,2,3,0.0373,150.651087397001,,,,,,
tile16h48m+88d42m,627579,3,261.9624,88.5643,18.763,0.081,18.155,17.816,2.254,3.662,3.472,2,2,0,2,2,0.0373,150.651087397001,,,,,,
tile00h00m+87d06m,1130287,3,0.43168,86.85188,17.904,0.013,17.187,16.775,1.73,2.044,1.804,0,0,0,2,1,0.0373,150.651087397001,,,,,,
tile22h48m+87d18m,116604,3,339.61025,87.47647,16.522,0.014,15.779,15.224,4.865,7.174,5.678,2,2,0,3,3,0.0374,151.054977711738,,,,,,
tile21h36m+88d42m,1221548,3,309.23621,88.62442,17.55,0.024,16.692,16.107,1.526,2.295,2.372,0,0,0,2,5,0.0375,151.458868026476,,,,,,
tile19h12m+87d06m,2464250,3,286.25441,86.65207,16.622,0.014,15.901,15.416,2.376,3.205,3.635,0,0,0,3,5,0.0375,151.458868026476,,,,,,
tile18h00m+88d00m,2456846,3,270.96369,87.67331,18.122,0.049,17.303,16.715,2.381,3.309,3.58,0,0,0,3,4,0.0377,152.26664865595,,,,,,
tile15h36m+88d00m,626857,3,236.94674,88.22818,17.09,0.013,16.519,16.532,3.139,5.513,4.727,0,0,2,3,5,0.0381,153.882209914899,,,,,,
tile18h00m+88d00m,2456933,3,272.70995,87.61189,15.56,0.008,14.702,13.937,2.527,3.386,3.181,0,0,0,3,5,0.0382,154.286100229637,,,,,,
tile19h12m+88d30m,752568,3,295.76513,88.5858,15.194,0.007,14.565,13.992,3.775,5.942,5.271,3,2,2,3,5,0.0384,155.093880859111,,,,,,
tile02h24m+87d06m,1258674,3,38.01389,86.70489,17.229,0.014,16.53,15.902,1.596,1.963,1.883,0,0,0,2,5,0.0385,155.497771173848,,,,,,
tile20h24m+88d00m,2459181,3,294.91248,87.78887,17.299,0.028,16.533,15.784,3.137,5.014,5.29,0,0,0,3,5,0.0387,156.305551803323,,,,,,
tile00h00m+89d12m,2495554,3,348.52409,88.83629,18.889,0.024,18.015,17.74,2.055,3.003,2.626,0,2,2,2,5,0.0387,156.305551803323,,,,,,
tile07h12m+87d06m,269,3,102.08931,87.03403,17.271,0.065,16.173,15.154,2.394,1.845,1.64,3,3,3,2,1,0.0392,158.325003377009,,,,,,
tile19h12m+88d30m,755041,3,303.05987,88.24685,18.489,0.052,17.637,17.15,1.439,2.545,2.567,0,0,2,2,2,0.0394,159.132784006484,,,,,,
tile13h12m+88d00m,1676859,3,196.64239,88.3496,18.822,0.027,17.806,17.056,2.609,2.149,2.393,2,0,2,3,3,0.0398,160.748345265433,,,,,,
tile19h12m+88d30m,755357,3,293.0484,88.21307,16.002,0.01,15.32,14.462,1.91,2.081,1.93,0,0,0,2,1,0.04,161.556125894907,,,,,,
tile01h12m+87d18m,1553368,3,19.99707,87.47974,18.335,0.074,17.508,16.679,1.923,1.893,2.218,0,0,0,2,1,0.04,161.556125894907,,,,,,
tile09h36m+89d12m,2326533,3,139.29155,88.97254,18.789,0.144,18.632,17.631,2.551,2.76,2.134,2,2,2,3,1,0.04,161.556125894907,,,,,,
tile04h48m+87d48m,1588170,3,68.57671,87.9143,18.949,0.114,18.278,17.493,3.74,1.85,2.106,0,3,3,3,1,0.0404,163.171687153857,,,,,,
tile07h12m+87d06m,18111,3,109.25798,86.92775,17.951,0.027,16.699,16.188,2.494,3.588,2.347,2,1,2,3,2,0.0405,163.575577468594,,,,,,
tile22h48m+87d18m,2509895,3,337.05949,87.47179,18.306,0.042,17.216,16.392,2.085,2.004,1.93,2,0,0,2,1,0.0405,163.575577468594,,,,,,
tile19h12m+88d30m,2458112,3,297.35349,88.46155,18.964,0.04,17.268,16.571,1.632,2.007,1.953,0,0,0,2,1,0.0407,164.383358098068,,,,,,
tile01h12m+87d18m,1016477,3,22.08618,87.12409,17.698,0.058,16.863,16.117,2.031,2.196,2.449,0,2,0,2,1,0.0408,164.787248412806,,,,,,
tile14h24m+87d06m,446576,3,219.60495,86.91274,18.801,0.06,18.011,17.165,3.128,3.142,2.628,0,2,0,3,2,0.041,165.59502904228,,,,,,
tile04h48m+87d06m,1608725,3,78.19977,87.06431,18.723,0.083,17.874,16.91,2.072,2.753,2.062,0,0,0,2,1,0.041,165.59502904228,,,,,,
tile01h12m+87d18m,1131203,3,16.09608,86.8816,17.946,0.025,17.236,16.469,1.783,2.029,2.214,0,0,0,2,1,0.0412,166.402809671755,,,,,,
tile14h24m+87d06m,446541,3,220.76921,86.9268,18.891,0.074,18.754,17.963,2.939,3.126,2.615,0,2,2,3,2,0.0413,166.806699986492,,,,,,
tile13h12m+87d18m,425719,3,205.5691,87.04405,17.938,0.042,17.281,16.52,3.849,4.571,3.935,0,2,0,3,1,0.0414,167.210590301229,,,,,,
tile01h12m+87d18m,1552634,3,23.8852,87.42146,18.049,0.057,17.209,16.579,1.792,1.975,1.904,0,0,0,2,2,0.0416,168.018370930704,,,,,,
tile16h48m+88d42m,748237,3,249.24898,88.66846,18.868,0.046,18.076,17.328,2.055,2.105,2.321,2,0,0,2,1,0.0416,168.018370930704,,,,,,
tile18h00m+88d00m,630757,3,271.96358,88.21463,18.357,0.031,17.459,16.762,1.807,3.104,2.925,0,0,0,2,5,0.0418,168.826151560178,,,,,,
tile04h48m+87d06m,1594316,3,72.31822,86.95033,18.791,0.035,17.649,16.692,2.205,1.841,1.958,0,2,2,2,1,0.0419,169.230041874916,,,,,,
tile02h24m+87d06m,1295671,3,36.67435,87.02941,17.841,0.107,17.453,16.814,1.868,3.758,3.517,2,2,2,2,3,0.0421,170.03782250439,,,,,,
tile16h48m+88d42m,2444840,3,245.61375,88.76235,18.092,0.053,17.655,16.898,3.001,2.908,2.731,3,3,2,3,1,0.0428,172.865054707551,,,,,,
tile09h36m+87d48m,1660188,3,144.62645,87.52718,17.391,0.013,16.523,15.812,1.02,2.135,1.973,0,0,0,2,2,0.0433,174.884506281237,,,,,,
tile01h12m+87d18m,1131509,3,13.97043,86.94911,17.168,0.016,16.647,15.883,1.365,1.948,1.992,3,3,3,2,1,0.0435,175.692286910712,,,,,,
tile04h48m+87d48m,2677466,3,68.98133,87.72941,18.611,0.093,17.496,16.589,2.847,2.027,1.802,0,0,0,3,1,0.0437,176.500067540186,,,,,,
tile19h12m+87d06m,437685,3,283.54854,87.13088,18.744,0.116,18.638,18.015,3.993,3.309,2.267,0,3,2,3,2,0.0445,179.731190058085,,,,,,
tile19h12m+87d06m,2467820,3,283.15195,87.04497,18.827,0.088,18.253,17.684,1.825,2.108,1.964,0,0,0,2,2,0.0445,179.731190058085,,,,,,
tile16h48m+87d06m,3025960,3,257.44247,86.70501,18.074,0.04,17.283,16.746,1.651,2.937,1.953,3,0,0,2,1,0.0445,179.731190058085,,,,,,
tile00h00m+90d00m,3416858,3,140.86911,89.60756,15.645,0.007,14.888,14.316,2.541,3.87,3.199,2,0,0,3,4,0.0446,180.135080372822,,,,,,
tile02h24m+87d06m,1297378,3,38.729,86.82231,17.467,0.021,17.009,16.286,1.713,2.67,2.181,0,0,0,2,2,0.0447,180.538970687559,,,,,,
tile02h24m+87d06m,1259786,3,41.87664,86.75384,17.962,0.195,17.955,17.108,2.46,2.029,2.878,0,0,0,3,1,0.0448,180.942861002296,,,,,,
