No.,Object Name,RA,DEC,Type,Velocity,Redshift,Redshift Flag,Magnitude and Filter,Separation,References,Notes,Photometry Points,Positions,Redshift Points,Diameter Points,Associations
289,MCG +15-01-018,263.49493,88.3113,G,11228,0.037453,    ,16,0,10,0,35,6,3,4,0
290,LDCE 1259,263.71875,87.465,GGroup,5596,0.018666,    ,     ,0,1,0,0,1,1,0,0
291,WISEA J173502.12+864517.4,263.7595,86.75483,G,21007,0.070071,PHOT,     ,0,1,0,27,4,1,2,1
292,WISEA J173511.68+871228.4,263.7974,87.20782,G,10842,0.036165,PHOT,17.16,0,4,0,36,6,1,2,0
293,WISEA J174337.02+862809.7,265.90471,86.46931,G,7087,0.02364,    ,11.4K,0,8,0,32,6,3,2,0
294,CGCG 370-007,266.3379,87.64226,G,5639,0.01881,    ,15.4,0,14,0,33,7,4,4,0
295,WISEA J174601.15+861610.6,266.50371,86.26956,G,14157,0.047221,PHOT,     ,0,1,0,27,4,1,2,0
296,WISEA J174806.92+861351.4,267.02867,86.23092,G,19980,0.066646,PHOT,     ,0,1,0,27,4,1,2,0
297,WISEA J174847.71+863927.4,267.19942,86.65767,G,21054,0.070229,PHOT,     ,0,1,0,27,4,1,2,0
298,WISEA J175125.37+864155.7,267.85625,86.69886,G,21133,0.070492,PHOT,     ,0,1,0,27,4,1,2,0
299,WISEA J175216.20+864422.3,268.06604,86.73947,G,8171,0.027254,PHOT,16.9E,0,2,0,27,4,1,2,0
300,WISEA J175339.37+890411.2,268.40238,89.07015,G,17109,0.057068,PHOT,17.54,0,2,0,31,5,1,2,0
